WGTP,HINCP,ST,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
0,-60000,53,
