,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,renovated_last_20,age
0,221900.0,3,1.0,1180,5650,1.0,0,0,3_Average,7_Average,0,60
1,538000.0,3,2.25,2570,7242,2.0,0,0,3_Average,7_Average,0,64
2,180000.0,2,1.0,770,10000,1.0,0,0,3_Average,6_Low_Average,0,82
3,604000.0,4,3.0,1960,5000,1.0,0,0,5_Very_Good,7_Average,0,50
4,510000.0,3,2.0,1680,8080,1.0,0,0,3_Average,8_Good,0,28
5,1230000.0,4,4.5,5420,101930,1.0,0,0,3_Average,11_Excellent,0,14
6,257500.0,3,2.25,1715,6819,2.0,0,0,3_Average,7_Average,0,20
7,291850.0,3,1.5,1060,9711,1.0,0,0,3_Average,7_Average,0,52
8,229500.0,3,1.0,1780,7470,1.0,0,0,3_Average,7_Average,0,55
9,323000.0,3,2.5,1890,6560,2.0,0,0,3_Average,7_Average,0,12
10,662500.0,3,2.5,3560,9796,1.0,0,0,3_Average,8_Good,0,50
11,468000.0,2,1.0,1160,6000,1.0,0,0,4_Good,7_Average,0,73
12,310000.0,3,1.0,1430,19901,1.5,0,0,4_Good,7_Average,0,88
13,400000.0,3,1.75,1370,9680,1.0,0,0,4_Good,7_Average,0,38
14,530000.0,5,2.0,1810,4850,1.5,0,0,3_Average,7_Average,0,115
15,650000.0,4,3.0,2950,5000,2.0,0,1,3_Average,9_Better,0,36
16,395000.0,3,2.0,1890,14040,2.0,0,0,3_Average,7_Average,0,21
17,485000.0,4,1.0,1600,4300,1.5,0,0,4_Good,7_Average,0,99
18,189000.0,2,1.0,1200,9850,1.0,0,0,4_Good,7_Average,0,94
19,230000.0,3,1.0,1250,9774,1.0,0,0,4_Good,7_Average,0,46
20,385000.0,4,1.75,1620,4980,1.0,0,0,4_Good,7_Average,0,68
21,2000000.0,3,2.75,3050,44867,1.0,0,1,3_Average,9_Better,0,47
22,285000.0,5,2.5,2270,6300,2.0,0,0,3_Average,8_Good,0,20
23,252700.0,2,1.5,1070,9643,1.0,0,0,3_Average,7_Average,0,30
24,329000.0,3,2.25,2450,6500,2.0,0,0,4_Good,8_Good,0,30
25,233000.0,3,2.0,1710,4697,1.5,0,0,5_Very_Good,6_Low_Average,0,74
26,937000.0,3,1.75,2450,2691,2.0,0,0,3_Average,8_Good,0,100
27,667000.0,3,1.0,1400,1581,1.5,0,0,5_Very_Good,8_Good,0,106
28,438000.0,3,1.75,1520,6380,1.0,0,0,3_Average,7_Average,0,67
29,719000.0,4,2.5,2570,7173,2.0,0,0,3_Average,8_Good,0,10
30,580500.0,3,2.5,2320,3980,2.0,0,0,3_Average,8_Good,0,12
31,280000.0,2,1.5,1190,1265,3.0,0,0,3_Average,7_Average,0,10
32,687500.0,4,1.75,2330,5000,1.5,0,0,4_Good,7_Average,0,86
33,535000.0,3,1.0,1090,3000,1.5,0,0,4_Good,8_Good,0,86
